;name;latitude;longitude
233;Hamburg-Moorburg;53.489;9.949
234;Hamburger Rieger;51.5201;14.3374
235;Hastedt;53.0601;8.8733
236;Hattorf;50.8126;9.978
237;Heilbronn;49.1773;9.2063
238;Heimbach;50.6286;6.4518
239;1;53.5177;9.9508
240;2;50.0918;8.5311
241;3;49.249;6.8792
242;4;48.3751;10.9028
243;5;49.8828;8.6287
244;Altbach/Deizisau (Natural Gas);48.7176;9.3749
245;Bomlitz;52.9;9.65
246;Evonik Rheinfelden;47.5708;7.8072
247;FFO;52.346;14.546
248;Gera-Nord;50.9076;12.061
249;Hafen;51.9501;7.6413
250;Hagen-Kabel;51.411;7.4917
251;KarlstraÃe 1;50.7338;7.0805
252;KarlstraÃe 2;50.7338;7.0805
253;Krefeld;51.3388;6.5853
254;Leipzig-Nord;51.3512;12.3784
255;MagirusstraÃe;48.397;9.9648
256;Pforzheim GmbH;48.8971;8.725
257;Pforzheim GmbH;48.8832;8.6653
258;Sindelfingen;48.6972;8.9992
259;Stendal;52.6087;11.8325
260;Stuttgart-Gaisburg;48.7825;9.2315
261;West;49.0144;8.3481
262;der Sappi Stockstadt GmbH;49.9774;9.0687
263;zur Papierfabrik;52.618;7.8619
264;Heizkraftwerke an der FriedensbrÃ¼cke;49.8;9.9231
265;Hemfurth;51.1671;9.0468
266;Herne;51.5508;7.1875
267;Heyden;52.3828;8.996
268;Hkw Offenbach;50.0652;8.769
269;Hohenwarte;50.6038;11.4752
270;Holthausen;51.1756;6.838
271;Huckingen;51.3679;6.7167
272;Huerth Ville / Berrenrath;50.8614;6.8407
273;Huntorf;53.1897;8.4087
274;HÃ¤usern;47.7546;8.1879
275;HÃ¶chstÃ¤dt;48.6032;10.5827
276;IAndernach;50.4349;7.4321
277;IHeidenheim;48.6701;10.1506
278;IKS PCK Schwedt;53.0982;14.2345
279;IKW;52.1674;14.627
280;IKW RÃ¼dersdorf;52.4903;13.8299
281;ILK-EKT;51.7999;11.7581
282;ILK-GuD;51.2998;12.0193
283;INEOS Kraftwerk;51.4693;6.6436
284;ISAR-2;48.6049;12.2936
285;IbbenbÃ¼ren-B;52.2888;7.7479
286;Industrie-Kraftwerk;51.5649;6.5782
287;Industriekraftwerk Bernburg (IKB);51.8012;11.7544
288;Industriekraftwerk Breuberg;49.8108;9.0117
289;Industriekraftwerk Greifswald;54.1379;13.6671
290;Industriekraftwerk Ludwigshafen;49.4532;8.4336
291;Industriepark Werk Gendorf;48.1768;12.7306
292;Ingolstadt;48.7503;11.4122
293;Itzehoe;53.9664;9.4495
294;Janschwalde;51.8344;14.459
295;Jochenstein;48.5196;13.7085
296;K&N PFK AG EV;51.0513;13.0166
297;KW Hafen;53.1248;8.7289
298;KW Kirchlengern;52.1951;8.6482
299;KW MittelsbÃ¼ren;53.1289;8.6852
300;KW Rheinfelden;47.5699;7.8101
301;KW Voerde;51.5765;6.6894
302;KW Walsum;51.5267;6.7187
303;KW West;51.5796;6.6789
304;KW Wyhlen;47.5524;7.6581
305;KWH;52.3667;9.7167
306;KWK AOS GmbH;53.6575;9.502
307;KWK GÃ¼tersloh;51.9154;8.4003
308;KWK Neumarkt;49.2613;11.4516
309;KWK-Anlage Barby;51.9832;11.8766
310;KWK-Anlage Krefeld DT;51.3392;6.6642
311;KWK-Anlage Krefeld VM;51.3392;6.6642
312;KWKK Heidelberg;49.4216;8.6728
313;KWM;52.315;10.0914
314;Kachlet;48.5797;13.4083
315;Karnap;51.5154;6.9938
316;Kaufering;48.084;10.8649
317;Kernkraft Gundremmingen;48.515;10.4016
318;Kessel 2;50.777;6.486
319;Kessel 4;50.777;6.486
320;Kesselhaus Zuckerfabrik;53.8563;13.7101
321;Kiel;54.3394;10.1766
322;KirchmÃ¶ser;52.3942;12.4181
323;Klingenberg;52.4889;13.497
324;KlÃ¤ranlage;48.5529;8.4074
325;Knapsack I;50.8617;6.8424
326;Koblenz;50.3659;7.5817
327;Koepchenwerk;51.4105;7.4531
328;Kohlekraftwerk;50.7055;6.6536
329;Kombi-HKW;51.2791;9.484
330;Kombikraftwerk;51.4656;12.592
331;Kopswerk I;46.9684;10.0599
332;Kraftwerk;50.9456;6.665
333;Kraftwerk;50.8305;6.9594
334;2;50.5691;9.6813
335;3;48.1539;12.6524
336;Bexbach;49.3635;7.2371
337;Ensdorf;49.2932;6.7709
338;Fulda;50.5664;9.6861
339;Grenzach-Wyhlen;47.5397;7.7069
340;Hausham;47.7524;11.8398
341;II;51.6804;7.0969
342;III;51.6804;7.0969
343;L 57;51.3698;6.6615
344;Mainz;50.0264;8.2379
345;Meggle;48.0564;12.1852
346;Mitte;49.5137;8.4316
347;N 230;51.3698;6.6615
348;Nord;48.5529;8.4074
349;Plattling;48.7874;12.8825
350;Salzgitter;52.1579;10.3958
351;Schwedt GmbH & Co.KG;53.0831;14.3214
352;SÃ¼d;49.5136;8.4316
353;Waldshut;47.6178;8.1926
354;Walheim;49.0175;9.1574
355;Werdohl-Elverlingsen;51.2764;7.7057
356;Kraftwerksgruppe Pfreimd;49.53;12.2848
357;Landau;48.6679;12.66
358;Landesbergen Biomasse;52.577;9.1101
359;Laufenburg;47.5559;8.0494
360;Lehmen;50.2747;7.459
361;Leitzach 1;47.8739;11.871
362;Lichterfelde;52.4252;13.3098
363;Lippendorf;51.1821;12.3733
364;LÃ¼nen (KSBG);51.614;7.4643
365;MHKW;53.1146;8.8182
366;M WKW;47.8561;12.1341
367;MBurgkirchen;48.1851;12.7361
368;MFrankfurt;50.1617;8.636
369;MMainz;50.0259;8.2418
370;MPirmasens;49.2282;7.5955
371;MRothensee;52.1853;11.6791
372;MKVA Krefeld;51.3804;6.6373
373;MT  DÃ¼ren;50.7728;6.49
374;MVA Bielefeld;52.0427;8.6072
375;MVA Hamm;51.6804;7.7442
376;MVA Ingolstadt;48.7645;11.4918
377;MVA Weisweiler;50.8386;6.3212
378;MVR MÃ¼llverwertung Rugenberger Damm GmbH & Co. KG;53.5209;9.9348
