BEGINN_DATUM;BEGINN_UHRZEIT;ENDE_DATUM;ENDE_UHRZEIT;NETZREGION;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE
03.01.2015;10:30;03.01.2015;11:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;50;50;25;TransnetBW;TenneT DE;Vorarlberger Illwerke AG
03.01.2015;12:00;03.01.2015;17:45;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;234;450;1345;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
03.01.2015;12:00;03.01.2015;13:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;200;200;200;TransnetBW;TenneT DE;Vorarlberger Illwerke AG
03.01.2015;17:00;03.01.2015;20:30;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;268;480;938;TransnetBW;TenneT DE;Vorarlberger Illwerke AG
03.01.2015;17:00;03.01.2015;21:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;129;210;517;TransnetBW;TenneT DE;Grosskraftwerk Mannheim AG 
03.01.2015;20:00;04.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;187;300;748;TenneT DE;50Hertz & TenneT DE;Zolling 5
03.01.2015;20:30;04.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;256;350;896;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
03.01.2015;22:00;03.01.2015;23:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;200;200;200;50Hertz;TenneT DE;Lippendorf
04.01.2015;00:00;04.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;808;1350;19400;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Lippendorf, Moorburg, Schkopau, Schwarze Pumpe
04.01.2015;00:00;05.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;308;380;7382;TenneT DE;50Hertz & TenneT DE;Zolling 5
04.01.2015;06:30;05.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;179;370;3130;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2
